Item 1,Item 2,Result,Result Description
Ability Sphere,Poison Fang,Blaster Mine,"Deals small amounts of damage plus Darkness, Silence and Sleep for three rounds on all enemies."
Ability Sphere,Potion,Ultra Potion,Full HP recovery for all party members.
Ability Sphere,Power Distiller,Mighty Wall,Bestows Protect and Shell on all party members.
Ability Sphere,Power Sphere,Frag Grenade,Deals small amounts of damage and inflicts Armor Break to all enemies.
Ability Sphere,Purifying Salt,Megalixir,Full HP and MP recovery for all party members.
Ability Sphere,Remedy,Megalixir,Full HP and MP recovery for all party members.
Ability Sphere,Rename Card,Pineapple,Deals medium amounts of damage to all enemies.
Ability Sphere,Return Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
Ability Sphere,Shadow Gem,Nega Burst,Reduces enemies' HP by three-quarters of their current HP.
Ability Sphere,Shining Gem,Hazardous Shell,"Deals medium amounts of damage plus Poison, Darkness, Silence and Sleep for four rounds on all enemies."
Ability Sphere,Shining Thorn,Blaster Mine,"Deals small amounts of damage plus Darkness, Silence and Sleep for three rounds on all enemies."
Ability Sphere,Silence Grenade,Blaster Mine,"Deals small amounts of damage plus Darkness, Silence and Sleep for three rounds on all enemies."
Ability Sphere,Silver Hourglass,Blaster Mine,"Deals small amounts of damage plus Darkness, Silence and Sleep for three rounds on all enemies."
Ability Sphere,Skill Sphere,Pineapple,Deals medium amounts of damage to all enemies.
Ability Sphere,Sleeping Powder,Blaster Mine,"Deals small amounts of damage plus Darkness, Silence and Sleep for three rounds on all enemies."
Ability Sphere,Smoke Bomb,Blaster Mine,"Deals small amounts of damage plus Darkness, Silence and Sleep for three rounds on all enemies."
Ability Sphere,Soft,Elixir,Full HP and MP recovery for one party member.
Ability Sphere,Soul Spring,Megalixir,Full HP and MP recovery for all party members.
Ability Sphere,Special Sphere,Pineapple,Deals medium amounts of damage to all enemies.
Ability Sphere,Speed Sphere,Frag Grenade,Deals small amounts of damage and inflicts Armor Break to all enemies.
Ability Sphere,Stamina Spring,Megalixir,Full HP and MP recovery for all party members.
Ability Sphere,Stamina Tablet,Mega Vitality,Doubles max HP of all party members.
Ability Sphere,Stamina Tonic,Hyper Vitality,Doubles max HP and bestows Cheer x5 on all party members.
Ability Sphere,Star Curtain,Mega NulAll,Bestows all four Nul-Spells on all party members.
Ability Sphere,Strength Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
Ability Sphere,Supreme Gem,Calamity Bomb,"Deals medium amounts of damage plus Poison, Darkness, Silence and Sleep for five rounds on all enemies."
Ability Sphere,Teleport Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
Ability Sphere,Tetra Elemental,Megalixir,Full HP and MP recovery for all party members.
Ability Sphere,Three Stars,Freedom X,No MP Cost for all party members.
Ability Sphere,Turbo Ether,Mega Mana,Doubles max MP of all party members.
Ability Sphere,Twin Stars,Freedom X,No MP Cost for all party members.
Ability Sphere,Underdog's Secret,Cluster Bomb,Deals large amounts of damage to all enemies.
Ability Sphere,Warp Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
Ability Sphere,Water Gem,Flash Flood,Deals medium amounts of damage in six bursts to all enemies.
Ability Sphere,White Magic Sphere,Pineapple,Deals medium amounts of damage to all enemies.
Ability Sphere,Wings to Discovery,Cluster Bomb,Deals large amounts of damage to all enemies.
Ability Sphere,Winning Formula,Cluster Bomb,Deals large amounts of damage to all enemies.
Ability Sphere,X-Potion,Ultra Potion,Full HP recovery for all party members.
Accuracy Sphere,Ability Distiller,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Accuracy Sphere,Ability Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
Accuracy Sphere,Accuracy Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
Accuracy Sphere,Agility Distiller,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Accuracy Sphere,Agility Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
Accuracy Sphere,Al Bhed Potion,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Accuracy Sphere,Amulet,Quartet of 9,All abilities inflict a minimum of 9999 damage or restoration with each hit for one party member.
Accuracy Sphere,Antarctic Wind,Winter Storm,Deals large amounts of damage in nine bursts to all enemies.
Accuracy Sphere,Antidote,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Accuracy Sphere,Arctic Wind,Winter Storm,Deals large amounts of damage in nine bursts to all enemies.
Accuracy Sphere,Attribute Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
Accuracy Sphere,Black Magic Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
Accuracy Sphere,Blessed Gem,Tallboy,Deals very large amounts of damage to all enemies.
Accuracy Sphere,Bomb Core,Burning Soul,Deals large amounts of damage in nine bursts to all enemies.
Accuracy Sphere,Bomb Fragment,Burning Soul,Deals large amounts of damage in nine bursts to all enemies.
Accuracy Sphere,Candle of Life,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Accuracy Sphere,Chocobo Feather,Super Mighty G,"Bestows Protect, Shell, Haste, and Regen on all party members."
Accuracy Sphere,Chocobo Wing,Super Mighty G,"Bestows Protect, Shell, Haste, and Regen on all party members."
Accuracy Sphere,Clear Sphere,Potato Masher,Deals large amounts of damage to all enemies.
Accuracy Sphere,Dark Matter,Sunburst,"Deals exactly 19,998 damage to all enemies."
Accuracy Sphere,Defense Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
Accuracy Sphere,Designer Wallet,Miracle Drink,High critical hit rate for all party members.
Accuracy Sphere,Door to Tomorrow,Quartet of 9,All abilities inflict a minimum of 9999 damage or restoration with each hit for one party member.
Accuracy Sphere,Dragon Scale,Tidal Wave,Deals large amounts of damage in nine bursts to all enemies.
Accuracy Sphere,Dream Powder,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Accuracy Sphere,Echo Screen,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Accuracy Sphere,Electro Marble,Lightning Bolt,Deals large amounts of damage in nine bursts to all enemies.
Accuracy Sphere,Elixir,Hot Spurs,Overdrive Gauges fill up at 1.5x rate for all party members.
Accuracy Sphere,Ether,Mega Mana,Doubles max MP of all party members.
Accuracy Sphere,Evasion Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
Accuracy Sphere,Eye Drops,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Accuracy Sphere,Farplane Shadow,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Accuracy Sphere,Farplane Wind,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Accuracy Sphere,Fire Gem,Burning Soul,Deals large amounts of damage in nine bursts to all enemies.
Accuracy Sphere,Fish Scale,Tidal Wave,Deals large amounts of damage in nine bursts to all enemies.
Accuracy Sphere,Fortune Sphere,Miracle Drink,High critical hit rate for all party members.
Accuracy Sphere,Frag Grenade,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Accuracy Sphere,Friend Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
Accuracy Sphere,Gambler's Spirit,Quartet of 9,All abilities inflict a minimum of 9999 damage or restoration with each hit for one party member.
Accuracy Sphere,Gold Hourglass,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Accuracy Sphere,Grenade,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Accuracy Sphere,Healing Spring,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Accuracy Sphere,Healing Water,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Accuracy Sphere,Hi-Potion,Final Elixir,"Cures abnormal status effects, gives full HP and MP recovery, and revives all KO'd party members with full HP."
Accuracy Sphere,Holy Water,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Accuracy Sphere,HP Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
Accuracy Sphere,Hypello Potion,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Accuracy Sphere,Ice Gem,Winter Storm,Deals large amounts of damage in nine bursts to all enemies.
Accuracy Sphere,Lv. 1 Key Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
Accuracy Sphere,Lv. 2 Key Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
Accuracy Sphere,Lv. 3 Key Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
Accuracy Sphere,Lv. 4 Key Sphere,Tallboy,Deals very large amounts of damage to all enemies.
Accuracy Sphere,Light Curtain,Super Mighty G,"Bestows Protect, Shell, Haste, and Regen on all party members."
Accuracy Sphere,Lightning Gem,Lightning Bolt,Deals large amounts of damage in nine bursts to all enemies.
Accuracy Sphere,Lightning Marble,Lightning Bolt,Deals large amounts of damage in nine bursts to all enemies.
Accuracy Sphere,Luck Sphere,Miracle Drink,High critical hit rate for all party members.
Accuracy Sphere,Lunar Curtain,Super Mighty G,"Bestows Protect, Shell, Haste, and Regen on all party members."
Accuracy Sphere,Magic Defense Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
Accuracy Sphere,Magic Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
Accuracy Sphere,Mana Distiller,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Accuracy Sphere,Mana Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
Accuracy Sphere,Mana Spring,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Accuracy Sphere,Mana Tablet,Hyper Mana,Doubles max MP and casts Focus on all party members.
Accuracy Sphere,Mana Tonic,Hyper Mana,Doubles max MP and casts Focus on all party members.
Accuracy Sphere,Map,Potato Masher,Deals large amounts of damage to all enemies.
Accuracy Sphere,Master Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
Accuracy Sphere,Megalixir,Eccentrick,Overdrive Gauges fill up at 2x rate for all party members.
Accuracy Sphere,Mega Phoenix,Final Elixir,"Cures abnormal status effects, gives full HP and MP recovery, and revives all KO'd party members with full HP."
Accuracy Sphere,Mega Potion,Final Elixir,"Cures abnormal status effects, gives full HP and MP recovery, and revives all KO'd party members with full HP."
Accuracy Sphere,MP Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
Accuracy Sphere,Musk,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Accuracy Sphere,Pendulum,Quartet of 9,All abilities inflict a minimum of 9999 damage or restoration with each hit for one party member.
Accuracy Sphere,Petrify Grenade,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Accuracy Sphere,Phoenix Down,Final Phoenix,Restores full HP and revives all KO'd party members with full HP.
Accuracy Sphere,Poison Fang,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Accuracy Sphere,Potion,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Accuracy Sphere,Power Distiller,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Accuracy Sphere,Power Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
Accuracy Sphere,Purifying Salt,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Accuracy Sphere,Remedy,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Accuracy Sphere,Rename Card,Potato Masher,Deals large amounts of damage to all enemies.
Accuracy Sphere,Return Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
Accuracy Sphere,Shadow Gem,Nega Burst,Reduces enemies' HP by three-quarters of their current HP.
Accuracy Sphere,Shining Gem,Tallboy,Deals very large amounts of damage to all enemies.
Accuracy Sphere,Shining Thorn,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Accuracy Sphere,Silence Grenade,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Accuracy Sphere,Silver Hourglass,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Accuracy Sphere,Skill Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
Accuracy Sphere,Sleeping Powder,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Accuracy Sphere,Smoke Bomb,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Accuracy Sphere,Soft,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Accuracy Sphere,Soul Spring,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Accuracy Sphere,Special Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
Accuracy Sphere,Speed Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
Accuracy Sphere,Stamina Spring,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Accuracy Sphere,Stamina Tablet,Mega Vitality,Doubles max HP of all party members.
Accuracy Sphere,Stamina Tonic,Hyper Vitality,Doubles max HP and bestows Cheer x5 on all party members.
Accuracy Sphere,Star Curtain,Super Mighty G,"Bestows Protect, Shell, Haste, and Regen on all party members."
Accuracy Sphere,Strength Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
Accuracy Sphere,Supreme Gem,Tallboy,Deals very large amounts of damage to all enemies.
Accuracy Sphere,Teleport Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
Accuracy Sphere,Tetra Elemental,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Accuracy Sphere,Three Stars,Freedom X,No MP Cost for all party members.
Accuracy Sphere,Turbo Ether,Mega Mana,Doubles max MP of all party members.
Accuracy Sphere,Twin Stars,Freedom X,No MP Cost for all party members.
Accuracy Sphere,Underdog's Secret,Quartet of 9,All abilities inflict a minimum of 9999 damage or restoration with each hit for one party member.
Accuracy Sphere,Warp Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
Accuracy Sphere,Water Gem,Tidal Wave,Deals large amounts of damage in nine bursts to all enemies.
Accuracy Sphere,White Magic Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
Accuracy Sphere,Wings to Discovery,Quartet of 9,All abilities inflict a minimum of 9999 damage or restoration with each hit for one party member.
Accuracy Sphere,Winning Formula,Quartet of 9,All abilities inflict a minimum of 9999 damage or restoration with each hit for one party member.
Accuracy Sphere,X-Potion,Final Elixir,"Cures abnormal status effects, gives full HP and MP recovery, and revives all KO'd party members with full HP."
Agility Distiller,Ability Distiller,Mighty G,"Bestows Protect, Shell, and Haste on all party members."
Agility Distiller,Ability Sphere,Mighty Wall,Bestows Protect and Shell on all party members.
Agility Distiller,Accuracy Sphere,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Agility Distiller,Agility Distiller,Mighty G,"Bestows Protect, Shell, and Haste on all party members."
Agility Distiller,Agility Sphere,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Agility Distiller,Al Bhed Potion,Ultra Potion,Full HP recovery for all party members.
Agility Distiller,Amulet,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Agility Distiller,Antarctic Wind,Snow Flurry,Deals small amounts of damage in five bursts to all enemies.
Agility Distiller,Antidote,Panacea,Cures abnormal status effects for all party members.
Agility Distiller,Arctic Wind,Snow Flurry,Deals small amounts of damage in five bursts to all enemies.
Agility Distiller,Attribute Sphere,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Agility Distiller,Black Magic Sphere,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Agility Distiller,Blessed Gem,Megalixir,Full HP and MP recovery for all party members.
Agility Distiller,Bomb Core,Heat Blaster,Deals small amounts of damage in five bursts to all enemies.
Agility Distiller,Bomb Fragment,Heat Blaster,Deals small amounts of damage in five bursts to all enemies.
